IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:15:bd2f:b083:ffb2:7c3c:632b,4,4,0.00,202.71,17.46
2606:4700:0:2e9f:8b73:6c2b:5d5:9bf5,4,4,0.00,202.01,13.91
2606:4700:0:e17d:5ef:6f56:73ef:6535,4,4,0.00,202.37,13.38
2606:4700:15:bd6d:42b4:40f4:1cf8:4a7f,4,4,0.00,202.82,12.84
2606:4700:0:2e9f:edfb:1efc:cfcb:7cc2,4,4,0.00,202.77,12.23
2606:4700:15:4895:80d0:dd50:92c9:6474,4,4,0.00,202.88,11.92
2606:4700:0:e17d:57e:f29:8eac:d410,4,4,0.00,202.33,10.69
2606:4700:15:4350:dc26:5c49:797e:de7f,4,4,0.00,202.82,10.07
2606:4700:15:bd2f:b0f1:8bd6:9f90:e30c,4,4,0.00,202.82,7.66
2606:4700:15:bd2f:b044:88b6:3dd7:aea2,4,4,0.00,202.27,5.60
