IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),国家代码
8.212.14.90,4,4,0.00,59.75,0.00,HK
47.57.233.126,4,4,0.00,60.77,0.00,HK
47.57.245.232,4,4,0.00,60.94,0.00,HK
8.212.65.162,4,4,0.00,61.44,0.00,HK
47.242.218.87,4,4,0.00,85.24,0.00,HK
8.219.243.132,4,4,0.00,91.33,0.00,SG
8.219.255.49,4,4,0.00,92.30,0.00,SG
8.219.63.79,4,4,0.00,93.37,0.00,SG
8.219.245.214,4,4,0.00,93.59,0.00,SG
8.219.254.1,4,4,0.00,93.91,0.00,SG
8.220.134.136,4,4,0.00,101.09,0.00,PH
158.180.75.201,4,4,0.00,105.11,0.00,KR
146.56.110.3,4,4,0.00,105.15,0.00,KR
144.24.95.220,4,4,0.00,109.02,0.00,KR
155.248.248.205,4,4,0.00,144.34,0.00,IN
141.148.203.6,4,4,0.00,146.77,0.00,IN
152.67.190.105,4,4,0.00,147.78,0.00,IN
152.67.99.162,4,4,0.00,179.14,0.00,AU
152.67.125.161,4,4,0.00,180.03,0.00,AU
192.9.180.162,4,4,0.00,181.33,0.00,AU
141.147.160.166,4,4,0.00,181.73,0.00,JP
141.147.185.208,4,4,0.00,183.24,0.00,JP
155.248.182.161,4,4,0.00,183.60,0.00,JP
150.230.204.132,4,4,0.00,183.97,0.00,JP
141.144.201.12,4,4,0.00,185.17,0.00,NL
155.248.169.118,4,4,0.00,186.51,0.00,JP
150.230.194.74,4,4,0.00,188.17,0.00,JP
150.230.63.93,4,4,0.00,188.69,0.00,JP
155.248.170.249,4,4,0.00,190.58,0.00,JP
141.148.235.197,4,4,0.00,205.20,0.00,NL
141.144.198.93,4,4,0.00,206.93,0.00,NL
141.144.197.136,4,4,0.00,207.14,0.00,NL
152.70.240.162,4,4,0.00,210.84,0.00,KR
141.147.47.32,4,4,0.00,213.20,0.00,DE
129.154.202.229,4,4,0.00,214.67,0.00,KR
140.238.31.168,4,4,0.00,214.94,0.00,KR
131.186.27.112,4,4,0.00,216.80,0.00,KR
132.226.16.97,4,4,0.00,218.67,0.00,KR
138.2.81.71,4,4,0.00,221.37,0.00,SG
193.123.35.178,4,4,0.00,222.04,0.00,NL
129.150.53.218,4,4,0.00,225.58,0.00,SG
8.222.139.227,4,4,0.00,226.30,0.00,SG
8.222.165.104,4,4,0.00,226.58,0.00,SG
141.144.196.32,4,4,0.00,226.94,0.00,NL
8.222.169.19,4,4,0.00,227.41,0.00,SG
141.147.71.187,4,4,0.00,227.61,0.00,GB
132.226.234.102,4,4,0.00,228.28,0.00,KR
168.138.165.174,4,4,0.00,228.29,0.00,SG
47.254.86.133,4,4,0.00,229.35,0.00,US
150.230.123.106,4,4,0.00,230.53,0.00,GB
141.144.198.121,4,4,0.00,230.86,0.00,NL
8.222.219.140,4,4,0.00,231.88,0.00,SG
152.67.151.176,4,4,0.00,231.94,0.00,GB
152.70.51.3,4,4,0.00,233.60,0.00,NL
